Country,Longitude,Latitude,projects,description,category
Madagascar,46.869107,-18.766947,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Madagascar,46.869107,-18.766947,Study of the Impact of the “Brexit” on the EU-ESA Trade and Investment relations (IOC),"Due to the strong economic, social, and legislative interconnections of the United Kingdom with the EU, Brexit has left many questions, a path full of uncertainty and unknown effects, due to the fact that no independent state has ever before tried to exit the EU. It is likely that the implications of Britain’s decision to leave the EU will have direct consequences for trade, services, investments and development finance assistance in the ESA-IO region. Therefore, the overall objective of the study is to analyse the impact of Brexit on the EU-ESA trade and economic relationship.   ",Impact Assessment
Madagascar,46.869107,-18.766947,"Study on the impact of the Interim Economic Partnership Agreement on the ESA signatory countries and the setting up of an EPA fund as a vehicle for financing the implementation of the iEPA Trade related, Fisheries and Development components (EC)",The overall objective of this study is to contribute to the economic development and regional integration of the beneficiary countries through the improvement of the trade relationship between them and the EU in the framework of the Interim Economic Partnership Agreement (iEPA). ,"Impact Assessment, Export promotion & strategy"
Malawi,34.301525,-13.254308,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Malawi,34.301525,-13.254308,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Malawi,34.301525,-13.254308,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Malawi,34.301525,-13.254308,Targeted Support to the Regional Multidisciplinary Centre of Excellence (RMCE) for the Implementation of the Key Trade Components of its APEI Programmes (TradeComII),"The overall objective of the project was to support the beneficial integration of the Accelerated Programme for Regional Integration (APEI) countries of Malawi, Mauritius, Mozambique, Seychelles, and Zambia into the regional and global economy and, thereby, contribute to sustainable economic development and poverty reduction in the region.",Impact Assessment
Mali,-3.996166,17.570692,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Mauritania,-10.940835,21.00789,Strengthen the National Trade Information System and competitiveness of Mauritania (Renforcement des systèmes d’information commerciale et de la compétitivité de la Mauritanie) (TradeCom II),"The overall objective of the project is to support the beneficial integration of the Accelerated Programme for Regional Integration (APEI) countries of Malawi, Mauritius, Mozambique, Seychelles, and Zambia into the regional and global economy and, thereby, contribute to sustainable economic development and poverty reduction in the region.",Impact Assessment
Mauritius,57.552152,-20.348404,Definition of a Sustainability and Development Plan for the Union of Chambers of Commerce and Industry of the Indian Ocean (UCCIOI),"The objective of this mission is to strengthen and support the Union des Chambres de Commerce et d’Industrie de l’Océan Indien’s (UCCIOI) role in favor of economic growth within the Indian Ocean Region, including taking into account the following issues: the promotion of the Indian Ocean region; the facilitation of international economic partnerships; and the co-development and common strategies to reach external markets. ",Export promotion & strategy
Mauritius,57.552152,-20.348404,Design of a NES for Mauritius (ITC),"The purpose of this project was to define the scope of the initiative, as well as assess issues pertinent to the design of the National Export Strategy (NES). It addressed trade opportunities and challenges as a result of erosion of trade preferences, in a bid to formulate a roadmap for key sectors with export potential.","Impact Assessment, Export promotion & strategy"
Mauritius,57.552152,-20.348404,Expanding Trade and Investment Plans (ETIPs) in the East and Southern African Region (TAF2+),"The objective is to prepare a regional ETIP, comprising sets of clear and costed programme documents suggesting how to increase trade with key trading partners and ultimately increase the development impact of the EPAs.",Export promotion & strategy
Mauritius,57.552152,-20.348404,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Mauritius,57.552152,-20.348404,National Export Strategy (NES) for Mauritius (ITC),The purpose of this project was to define the scope of the initiative as well as assess issues pertinent to the development of the National Export Strategy (NES). It addressed trade opportunities and challenges as a result of erosion of trade preferences in a bid to formulate a roadmap for key sectors with export potential.,"E-commerce/Digital Trade, Export promotion & strategy"
Mauritius,57.552152,-20.348404,"Policymakers Handbook on E-Commerce and Digital Trade for Least Developed Countries, Small States and Sub-Saharan Africa (Commonwealth Secretariat)","The overall objective of the assignment is to help with the capacity development of Commonwealth small states, least developed countries (LDCs), and sub-Saharan African (SSA) states so that they can participate effectively in global work on e-commerce, including in the context of the WTO work programme, as well as discussion in other trade fora with a view to safeguarding and promoting their interests. ","E-Commerce /Digital Trade, Policy & Negotiations"
Mauritius,57.552152,-20.348404,Provision of Advisory Services to the Ministry of Finance and Economic Development (The Government of the Republic of Mauritius),The overall objective of this project is to provide Advisory Services to the Ministry of Finance and Economic Development of the Government of Mauritius.,"Policy & Negotiations, Impact Assessment, Export promotion & Strategy"
Mauritius,57.552152,-20.348404,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Mauritius,57.552152,-20.348404,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Mauritius,57.552152,-20.348404,Study of the Impact of the “Brexit” on the EU-ESA Trade and Investment relations (IOC),"Due to the strong economic, social, and legislative interconnections of the United Kingdom with the EU, Brexit has left many questions, a path full of uncertainty and unknown effects, due to the fact that no independent state has ever before tried to exit the EU. It is likely that the implications of Britain’s decision to leave the EU will have direct consequences for trade, services, investments and development finance assistance in the ESA-IO region. Therefore, the overall objective of the study is to analyse the impact of Brexit on the EU-ESA trade and economic relationship.   ",Impact Assessment
Mauritius,57.552152,-20.348404,"Study on the impact of the Interim Economic Partnership Agreement on the ESA signatory countries and the setting up of an EPA fund as a vehicle for financing the implementation of the iEPA Trade related, Fisheries and Development components (EC)",The overall objective of this study is to contribute to the economic development and regional integration of the beneficiary countries through the improvement of the trade relationship between them and the EU in the framework of the Interim Economic Partnership Agreement (iEPA). ,"Impact Assessment, Export promotion & strategy"
Mauritius,57.552152,-20.348404,Targeted Support to the Regional Multidisciplinary Centre of Excellence (RMCE) for the Implementation of the Key Trade Components of its APEI Programmes (TradeComII),"The overall objective of the project was to support the beneficial integration of the Accelerated Programme for Regional Integration (APEI) countries of Malawi, Mauritius, Mozambique, Seychelles, and Zambia into the regional and global economy and, thereby, contribute to sustainable economic development and poverty reduction in the region.",Impact Assessment
Micronesia,150.550812,7.425554,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Mongolia,103.846656,46.862496,Develop a Trade and Investment Roadmap (TIR) for Mongolia (ITC),"Provide technical assistance to the International Trade Centre (ITC)'s Division of Market Development, Chief Economist and Export Strategy (DMD/CEES) section which is in charge of assisting beneficiary countries in the development of Trade Development Strategies following a request from the Ministry of Foreign Affairs of Mongolia for technical expertise in developing a Trade and Investment Roadmap (TIR) for Mongolia.",Export promotion & strategy
Mongolia,103.846656,46.862496,"Preparation of ""Multilateral Trade Negotiations and LLDCS: A Handbook for Negotiators and Practitioners"" (UNDP)","The objective of the assignment was to develop a handbook on trade negotiations that will assist trade negotiators and practitioners in Landlocked Developing Countries (LLDCs) to better understand current provisions in multilateral trade agreements, thus enhancing the bargaining position of landlocked countries and the LLDC group in on-going and future negotiations of multilateral agreements.",Export promotion & strategy
Mongolia,103.846656,46.862496,Scoping mission for a Trade Related Assistance project to Mongolia (EC),"The overall objective was to undertake a diagnostic of the trade-related framework and performance in Mongolia, and to formulate proposals for EU support in a Trade Related Assistance project for Mongolia.  
The specific objective was to prepare the design of a project that will support the efforts of the Mongolian government to improve the country’s performance in external trade by developing adequate capacities and policies.","Policy & Negotiations, Export promotion & Strategy"
Mozambique,35.529562,-18.665695,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Mozambique,35.529562,-18.665695,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Mozambique,35.529562,-18.665695,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Mozambique,35.529562,-18.665695,Targeted Support to the Regional Multidisciplinary Centre of Excellence (RMCE) for the Implementation of the Key Trade Components of its APEI Programmes (TradeComII),"The overall objective of the project was to support the beneficial integration of the Accelerated Programme for Regional Integration (APEI) countries of Malawi, Mauritius, Mozambique, Seychelles, and Zambia into the regional and global economy and, thereby, contribute to sustainable economic development and poverty reduction in the region.",Impact Assessment
Myanmar,95.956223,21.913965,Export Competitiveness Programme (NTF),"The overall objective of the project was to increase the income of producers and exporters in selected sectors, in selected priority developing countries through the creation of more competitive sectors, ultimately contributing to sustainable economic development.",Export promotion & strategy
Myanmar,95.956223,21.913965,Mid-term Evaluation of the Myanmar Trade Development Programme and formulation of Myanmar National component of ARISE Plus,"The objective of the assignment is to conduct a midterm external evaluation of the ""Myanmar Trade Development Programme"" and to support the EU Delegation in the identification and formulation of the Myanmar National component of the ARISE Plus Programme under MIP Asia 2014-2020. The project aims to contribute to the enhancement of inclusive economic growth in Myanmar by enabling the country to take advantage of its reintegration into the world trading system including ASEAN, and the opportunities for trade and investment.","Export promotion & strategy, Impact Assessment"
Myanmar,95.956223,21.913965,National Export Strategy of Myanmar (GIZ),"Trade analytics and diagnostic assessment for the definition of a National Export Strategy (NES) for Myanmar on behalf of the International Trade Centre UNCTAD/WTO. 
The specific objective was to provide a multiplier role to ITC Export Strategy advisers by facilitating sector and cross-sector strategies design, as well as supporting the overall NES design process.",Export promotion & strategy
Myanmar,95.956223,21.913965,Preparation of an Action Plan and Logframe for the implementation of an upcoming EU Trade Development Programme (GIZ),"This project on Private Sector Development (PSD) focused on capacity strengthening for public and private sector stakeholders, with the aim of enhancing, planning and implementing sustainable economic development projects with a special view on Small and Medium Enterprises (SMEs). 
The overall objective was to provide a detailed Action Plan according to EU standards for the implementation of the EU financed “Trade Development Programme”.  The action plan included a detailed outline of the planned activities.",Export promotion & strategy
Myanmar,95.956223,21.913965,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Namibia,18.49041,-22.95764,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Namibia,18.49041,-22.95764,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Nauru,166.931503,-0.522778,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Nepal,84.124008,28.394857,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
New Caledonia,165.618042,-20.904305,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
New Zealand,174.885971,-40.900557,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
New Zealand,174.885971,-40.900557,Independent Monitoring and Evaluation of the Pacific Agreement on Closer Economic Relations Plus (Pacer Plus) (New Zealand Ministry of Foreign Affairs and Trade - MFAT),The overall objective of this project is to provide technical assistance to New Zealand’s Ministry of Foreign Affairs and Trade (MFAT) to design an overarching monitoring and evaluation framework for the Pacific Agreement on Closer Economic Relations Plus (PACER Plus) and associated initiatives (PACER Plus Agreement; DEC Programme; Aid for Trade; and the Labour Mobility Arrangement).,Impact Assessment
Nicaragua,-85.207229,12.865416,"Training Programme on ""Effective Design of Trade and Private Sector Development Support (EC)","The overall aim of the assignment was to assist DEVCO.C4 in the organisation and delivery of the training programme on Trade and Private Sector Development (TPSD) for EU staff, both at Headquarters and in Delegations in third countries, with a view to enable the Commission to improve the quality and effectiveness of its external assistance in the fields of TRA and PSD.",Export promotion & strategy
Nigeria,8.675277,9.081999,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Niue,-169.867233,-19.054445,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Niue,-169.867233,-19.054445,Targeted assistance for the development of an enabling environment for e-commerce in the Pacific Region (TradeCom II),To contribute to sustainable economic development and poverty reduction in the Pacific through addressing the obstacles which undermine the development of e-Commerce.,"E-Commerce / Digital Trade, Policy & Negotiations"
Niue,-169.867233,-19.054445,"Targeted Support to PIFS to build capacity for Mainstreaming Trade Policy Frameworks (TPFs) and overall Trade Agenda in the Pacific Region, and to Niue for the Implementation of its TPF (EDF/TradeCom II)",The overall objective of the project of which this contract is a part is to contribute to sustainable economic development and poverty reduction in the Pacific Island Forum (PIF) countries through closer regional economic integration and increased participation in the global economy.,Policy & Negotiations
Pakistan,69.345116,30.375321,Process Evaluation of the South Asia Regional Trade and Integration Programme SARTIP (DFID),"SARTIP covers 11 countries across Central and South Asia, and three major sectors: energy connectivity; trade in goods and services; and regional FDI. Programme activities fall into two principal areas: investment preparation and policy reform.","Policy & Negotiations, impact Assessment"
Palau,134.58252,7.51498,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Papua New Guinea,143.95555,-6.314993,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Republic of Marshall Islands,171.184478,7.131474,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Rwanda,29.873888,-1.940278,Consultancy Service to develop Rwanda’s Market Access Strategy and Implementation/Action Plan for Trade Sustainability with its Potential Markets (EC),"The overall objective of the project was to undertake a detailed analysis on consumer demand, market segmentation, purchasing power and pricing, distribution and the supply chain, coverage and support systems in the targeted markets. The specific objective was to come up with an effective market entry strategy for each European market.",Export promotion & strategy
Rwanda,29.873888,-1.940278,"CONSULTANCY TO ANALYSE FOOD DEMANDS, THE COMPETITIVENESS OF DOMESTIC SUPPLY CHAINS THEREBY DEVELOPING STRATEGIES TO ENHANCE TRADE FLOWS OF KEY FOOD CROPS IN SOUTHERN, EAST, AND WEST AFRICA (AGRA)","The purpose of this project is to provide a basis for a framework for prioritisation of key priority food value chains based on an analysis of competitiveness, policy and regulatory gaps, differences in agro-ecologies, infrastructure availability/limitations and level of investment along promising economic corridors.","Export promotion & strategy, Policy & Negotiations"
Rwanda,29.873888,-1.940278,Developing an Agro Export Marketing Strategy for Rwanda (EC),"The overall objective of the project of which this contract is a part, is to develop an Agro Export Marketing Strategy for Rwanda aimed at providing the framework and marketing tools to increase the quality and quantity of agro exports so that the country becomes a world-class exporter of agricultural and livestock commodities. At the same time, this project seeks to create an enabling environment aimed at stimulating an increase of the market share of Rwandan agricultural export products to targeted international markets.","Export promotion & strategy, Policy & Negotiations"
Rwanda,29.873888,-1.940278,Horticulture Trade Enhancement and Certification in Rwanda (EDF/ACP TBT Programme),"The overall objective of the assignment is to improve exports, competitiveness and market access of Rwandan horticulture products. 
The purpose of this contract is as follows: 
To train and support selected small-scale farmers for the Global-G.A.P. certification; 
To strengthen the capacities of local service providers and National trade-related organisations to support horticulture producers and exporters in the process for certification.",Export promotion & strategy
Rwanda,29.873888,-1.940278,Independent Evaluation of SITA Africa: Supporting Indian Trade and Investment for Africa (DFID),"In 2013 DFID approved the programme Supporting Indian Trade and Investment for Africa (SITA Africa), DFID’s first South-South Aid for Trade (AfT) and value chain development programme. The purpose of SITA Africa is to harness Indian resources (knowledge, technology, capital) to increase higher value-added exports from selected African countries to the Indian market, and also third markets. The overall objective of this assignment is to estimate SITA’s contribution to programme outcomes and determine its overall impact.","Impact Assessment, Export promotion & strategy"
Rwanda,29.873888,-1.940278,Independent Evaluation of Trade Mark East Africa (DFID),The purpose of this project is to identify and feed lessons learnt into the management of the remainder of the current programme and the design of any potential continuation of the TMEA programme and future regional trade integration programmes. The evaluation will provide evidence on trade and development that is more widely of interest also.,Impact Assessment
Rwanda,29.873888,-1.940278,Targeted Support to Rwanda to Improve its E-Commerce Environment and Export Facilitation for SMEs (TradeCom II Programme),"In the context of improving the competitiveness of the SMEs in the export markets and the related and new e-commerce environment, the purpose of this project is two-fold: 
Purpose 1: Improving e-commerce environment in Rwanda 
Purpose 2: Promoting exports of the Rwanda private sector including SMEs.","Export promotion & strategy, E-commerce / Digital Trade"
Rwanda,29.873888,-1.940278,Targeted Support to the EAC for the Implementation of the Tripartite FTA Agreement-Trade Policy and Export Development to the EU Market (EDF/TradeCom II),"The project is to provide a range of highly specialised technical and legal services to the Customs and Trade Directorate of the EAC. These services involve: 
The provision of technical and legal support to the Directorate of Customs and Trade of the EAC States; 
Provision of capacity building and tripartite awareness services to the target audiences; 
Preparation of strategic and technical reports in the areas covered by the terms of reference.","Impact Assessment, Export promotion & strategy"
Samoa,-172.104629,-13.759029,Development of a Monitoring and Evaluation Framework for Political Regional Treaties on Trade (Pacific Islands Forum Secretariat),"The Overall Objective of the project is to develop a dynamic and evolving Pacific-specific monitoring and evaluation (M&E) framework that tracks and monitors, as well as identifies how both the region and individual countries are doing on regional economic integration overall (in terms of implementation progress and changes overtime) and by priority areas.",Impact Assessment
Samoa,-172.104629,-13.759029,Technical Assistance for Samoa’s WTO Trade Policy Review (PIFS),"To provide Technical Assistance to the Government of Samoa in preparation for, and during, its first WTO Trade Policy Review (TPR).",Policy & Negotiations
Senegal,-14.452362,14.497401,"Training Programme on ""Effective Design of Trade and Private Sector Development Support (EC)","The overall aim of the assignment was to assist DEVCO.C4 in the organisation and delivery of the training programme on Trade and Private Sector Development (TPSD) for EU staff, both at Headquarters and in Delegations in third countries, with a view to enable the Commission to improve the quality and effectiveness of its external assistance in the fields of TRA and PSD.",Export promotion & strategy
Seychelles,55.491977,-4.679574,Definition of a Sustainability and Development Plan for the Union of Chambers of Commerce and Industry of the Indian Ocean (UCCIOI),"The objective of this mission is to strengthen and support the Union des Chambres de Commerce et d’Industrie de l’Océan Indien’s (UCCIOI) role in favor of economic growth within the Indian Ocean Region, including taking into account the following issues: the promotion of the Indian Ocean region; the facilitation of international economic partnerships; and the co-development and common strategies to reach external markets. ",Export promotion & strategy
Seychelles,55.491977,-4.679574,Expanding Trade and Investment Plans (ETIPs) in the East and Southern African Region (TAF2+),"The objective is to prepare a regional ETIP, comprising sets of clear and costed programme documents suggesting how to increase trade with key trading partners and ultimately increase the development impact of the EPAs.",Export promotion & strategy
Seychelles,55.491977,-4.679574,Monitoring and Evaluation of the COMESA Regional Integration Support Mechanism (RISM) (EC/EDF),"The objective of the Regional Integration Support Mechanism (RISM) is to support Member Countries in participating fully in the COMESA, EAC and Tripartite FTAs and the COMESA and EAC customs unions with minimum disruption to public expenditure commitments, as well as enabling them to implement economic reform programmes in the context of regional integration.",Impact Assessment
Seychelles,55.491977,-4.679574,Regional Economic Integration Support (REIS) Programme (EU),"The Overall Objective of the Programme is to promote economic growth and reduce poverty in the SADC Region. 
The Specific Objective of the Programme is to create the enabling environment through the SADC Secretariat to enhance the movement of goods and services within SADC, facilitate investment, and secure WTO compatible market access arrangements between SADC EPA countries and the EU.",E-Commerce / Digital Trade
Seychelles,55.491977,-4.679574,"Reviewing the SADC Monitoring, Reporting and Evaluation System for the SADC Protocol on Trade (GIZ)","The Monitoring, Reporting and Evaluation (MRE) System for the SADC Protocol on Trade was adopted by the Committee of Ministers of Trade in July 2014 and its implementation commenced immediately thereafter. The System was developed as part of implementation of the SADC Policy on Strategy Development, Planning, Monitoring and Evaluation (SPME) which was approved by the Council of Ministers in Luanda, Angola in February 2012. In line with the technical guidelines of the MRE, the Overall Objective of the project is to conduct the first review of the system, including all functions, tools and the reporting cycle.",Impact Assessment
Seychelles,55.491977,-4.679574,Study of the Impact of the “Brexit” on the EU-ESA Trade and Investment relations (IOC),"Due to the strong economic, social, and legislative interconnections of the United Kingdom with the EU, Brexit has left many questions, a path full of uncertainty and unknown effects, due to the fact that no independent state has ever before tried to exit the EU. It is likely that the implications of Britain’s decision to leave the EU will have direct consequences for trade, services, investments and development finance assistance in the ESA-IO region. Therefore, the overall objective of the study is to analyse the impact of Brexit on the EU-ESA trade and economic relationship.   ",Impact Assessment
Seychelles,55.491977,-4.679574,"Study on the impact of the Interim Economic Partnership Agreement on the ESA signatory countries and the setting up of an EPA fund as a vehicle for financing the implementation of the iEPA Trade related, Fisheries and Development components (EC)",The overall objective of this study is to contribute to the economic development and regional integration of the beneficiary countries through the improvement of the trade relationship between them and the EU in the framework of the Interim Economic Partnership Agreement (iEPA). ,"Impact Assessment, Export promotion & strategy"
Seychelles,55.491977,-4.679574,Targeted Support to the Regional Multidisciplinary Centre of Excellence (RMCE) for the Implementation of the Key Trade Components of its APEI Programmes (TradeComII),"The overall objective of the project was to support the beneficial integration of the Accelerated Programme for Regional Integration (APEI) countries of Malawi, Mauritius, Mozambique, Seychelles, and Zambia into the regional and global economy and, thereby, contribute to sustainable economic development and poverty reduction in the region.",Impact Assessment
